Particle index 226, connected to particle index 245, rest length: 0.707107
Particle index 226, connected to particle index 247, rest length: 0.707107
Particle index 227, connected to particle index 246, rest length: 0.707107
Particle index 227, connected to particle index 248, rest length: 0.707107
Particle index 228, connected to particle index 247, rest length: 0.707107
Particle index 228, connected to particle index 249, rest length: 0.707107
Particle index 229, connected to particle index 248, rest length: 0.707107
Particle index 229, connected to particle index 250, rest length: 0.707107
Particle index 230, connected to particle index 249, rest length: 0.707107
Particle index 230, connected to particle index 251, rest length: 0.707107
Particle index 231, connected to particle index 250, rest length: 0.707107
Particle index 231, connected to particle index 252, rest length: 0.707107
Particle index 232, connected to particle index 251, rest length: 0.707107
Particle index 232, connected to particle index 253, rest length: 0.707107
Particle index 233, connected to particle index 252, rest length: 0.707107
Particle index 233, connected to particle index 254, rest length: 0.707107
Particle index 234, connected to particle index 253, rest length: 0.707107
Particle index 234, connected to particle index 255, rest length: 0.707107
Particle index 235, connected to particle index 254, rest length: 0.707107
Particle index 235, connected to particle index 256, rest length: 0.707107
Particle index 236, connected to particle index 255, rest length: 0.707107
Particle index 236, connected to particle index 257, rest length: 0.707107
Particle index 237, connected to particle index 256, rest length: 0.707107
Particle index 237, connected to particle index 258, rest length: 0.707107
Particle index 238, connected to particle index 257, rest length: 0.707107
Particle index 238, connected to particle index 259, rest length: 0.707107
Particle index 239, connected to particle index 258, rest length: 0.707107
Particle index 240, connected to particle index 261, rest length: 0.707107
Particle index 241, connected to particle index 260, rest length: 0.707107
Particle index 241, connected to particle index 262, rest length: 0.707107
Particle index 242, connected to particle index 261, rest length: 0.707107
Particle index 242, connected to particle index 263, rest length: 0.707107
Particle index 243, connected to particle index 262, rest length: 0.707107
Particle index 243, connected to particle index 264, rest length: 0.707107
Particle index 244, connected to particle index 263, rest length: 0.707107
Particle index 244, connected to particle index 265, rest length: 0.707107
Particle index 245, connected to particle index 264, rest length: 0.707107
Particle index 245, connected to particle index 266, rest length: 0.707107
Particle index 246, connected to particle index 265, rest length: 0.707107
Particle index 246, connected to particle index 267, rest length: 0.707107
Particle index 247, connected to particle index 266, rest length: 0.707107
Particle index 247, connected to particle index 268, rest length: 0.707107
Particle index 248, connected to particle index 267, rest length: 0.707107
Particle index 248, connected to particle index 269, rest length: 0.707107
Particle index 249, connected to particle index 268, rest length: 0.707107
Particle index 249, connected to particle index 270, rest length: 0.707107
Particle index 250, connected to particle index 269, rest length: 0.707107
Particle index 250, connected to particle index 271, rest length: 0.707107
Particle index 251, connected to particle index 270, rest length: 0.707107
Particle index 251, connected to particle index 272, rest length: 0.707107
Particle index 252, connected to particle index 271, rest length: 0.707107
Particle index 252, connected to particle index 273, rest length: 0.707107
Particle index 253, connected to particle index 272, rest length: 0.707107
Particle index 253, connected to particle index 274, rest length: 0.707107
Particle index 254, connected to particle index 273, rest length: 0.707107
Particle index 254, connected to particle index 275, rest length: 0.707107
Particle index 255, connected to particle index 274, rest length: 0.707107
Particle index 255, connected to particle index 276, rest length: 0.707107
Particle index 256, connected to particle index 275, rest length: 0.707107
Particle index 256, connected to particle index 277, rest length: 0.707107
Particle index 257, connected to particle index 276, rest length: 0.707107
Particle index 257, connected to particle index 278, rest length: 0.707107
Particle index 258, connected to particle index 277, rest length: 0.707107
Particle index 258, connected to particle index 279, rest length: 0.707107
Particle index 259, connected to particle index 278, rest length: 0.707107
Particle index 260, connected to particle index 281, rest length: 0.707107
